Movie_Name,Rating,Votes,Meta_score,PG_Rating,Year,Duration,Movie_ID,Director_ID,Oscar_Award_ID,GG_Award_ID
Blue Beetle,6.0,79000,61,PG-13,2023,2h 7m,54,63,,
Eileen,6.7,2300,71,R,2023,1h 37m,55,64,,
Love and Monsters,6.9,140000,63,PG-13,2020,1h 49m,56,65,,
Dune,8.0,734000,74,PG-13,2021,2h 35m,57,66,OWA0004,GG013
Dune,8.0,734000,74,PG-13,2021,2h 35m,57,66,OWA0020,GG013
Dune,8.0,734000,74,PG-13,2021,2h 35m,57,66,OWA0030,GG013
Dune,8.0,734000,74,PG-13,2021,2h 35m,57,66,OWA0102,GG013
Dune,8.0,734000,74,PG-13,2021,2h 35m,57,66,OWA0057,GG013
Dune,8.0,734000,74,PG-13,2021,2h 35m,57,66,OWA0084,GG013
Blade Runner 2049,8.0,637000,81,R,2017,2h 44m,100,66,OWA0004,
Blade Runner 2049,8.0,637000,81,R,2017,2h 44m,100,66,OWA0084,
Prisoners,8.1,785000,70,R,2013,2h 33m,252,66,,
Sicario,7.7,462000,82,R,2015,2h 1m,394,66,,
Enemy,6.9,209000,61,R,2013,1h 31m,1264,66,,
Spirited,6.6,46000,55,PG-13,2022,2h 7m,58,67,,
Daddy's Home 2,6.0,81000,30,PG-13,2017,1h 40m,685,67,,
That's My Boy,5.5,107000,31,R,2012,1h 56m,1004,67,,
Daddy's Home,6.2,127000,42,PG-13,2015,1h 36m,1067,67,,
Sex Drive,6.5,91000,49,R,2008,1h 49m,1270,67,,
Instant Family,7.3,117000,57,PG-13,2018,1h 58m,1520,67,,
Dream Scenario,7.4,7500,74,R,2023,1h 42m,59,68,,
Jingle All the Way,5.7,113000,34,PG,1996,1h 29m,60,69,,
Priscilla,6.9,8400,78,R,2023,1h 53m,61,70,,
Lost in Translation,7.7,480000,91,R,2003,1h 42m,523,70,OWA0036,GG012
Lost in Translation,7.7,480000,91,R,2003,1h 42m,523,70,OWA0036,GG004
Lost in Translation,7.7,480000,91,R,2003,1h 42m,523,70,OWA0036,GG006
The Virgin Suicides,7.2,166000,77,R,1999,1h 37m,675,70,,
Marie Antoinette,6.5,119000,65,PG-13,2006,2h 3m,1218,70,OWA0053,
The Batman,7.8,751000,72,PG-13,2022,2h 56m,63,73,,
War for the Planet of the Apes,7.4,276000,82,PG-13,2017,2h 20m,688,73,,
Dawn of the Planet of the Apes,7.6,462000,79,PG-13,2014,2h 10m,807,73,,
Cloverfield,7.0,416000,64,PG-13,2008,1h 25m,1553,73,,
American Fiction,7.8,1200,81,R,2023,1h 57m,66,76,,
Genie,5.9,6000,35,PG,2023,1h 33m,68,77,,
The Shawshank Redemption,9.3,2800000,82,R,1994,2h 22m,70,80,,
The Green Mile,8.6,1400000,61,R,1999,3h 9m,232,80,,
The Mist,7.1,333000,58,R,2007,2h 6m,396,80,,
Last Christmas,6.5,87000,50,PG-13,2019,1h 43m,72,81,,
Bridesmaids,6.8,306000,75,R,2011,2h 5m,1130,81,,
The School for Good and Evil,5.9,34000,30,PG-13,2022,2h 27m,1422,81,,
Spy,7.0,255000,75,R,2015,2h,1525,81,,
A Simple Favor,6.8,159000,67,R,2018,1h 57m,1628,81,,
Reptile,6.8,73000,52,R,2023,2h 14m,73,82,,
The Suicide Squad,7.2,395000,72,R,2021,2h 12m,74,83,,
Guardians of the Galaxy Vol. 3,7.9,352000,64,PG-13,2023,2h 30m,106,83,,
Guardians of the Galaxy,8.0,1300000,76,PG-13,2014,2h 1m,413,83,,
Guardians of the Galaxy Vol. 2,7.6,744000,67,PG-13,2017,2h 16m,1050,83,,
Gremlins,7.3,242000,70,PG,1984,1h 46m,75,84,,
The Godfather,9.2,2000000,100,R,1972,2h 55m,76,85,OWA0001,GG003
The Godfather,9.2,2000000,100,R,1972,2h 55m,76,85,OWA0001,GG012
The Godfather,9.2,2000000,100,R,1972,2h 55m,76,85,OWA0001,GG001
The Godfather,9.2,2000000,100,R,1972,2h 55m,76,85,OWA0001,GG013
The Godfather,9.2,2000000,100,R,1972,2h 55m,76,85,OWA0060,GG003
