Movie_Name,Rating,Votes,Meta_Score,PG_Rating,Year,Duration,Director,Movie_ID,Director_ID
The Hunger Games: Mockingjay - Part 1,6.6,491000,64,PG-13,2014,2h 3m,Francis Lawrence,251,6
Prisoners,8.1,785000,70,R,2013,2h 33m,Denis Villeneuve,252,66
Trading Places,7.5,162000,69,R,1983,1h 56m,John Landis,253,220
Death on the Nile,6.3,180000,52,PG-13,2022,2h 7m,Kenneth Branagh,254,37
Man of Steel,7.1,802000,55,PG-13,2013,2h 23m,Zack Snyder,255,14
Aquaman,6.8,507000,55,PG-13,2018,2h 23m,James Wan,256,221
Shutter Island,8.2,1400000,63,R,2010,2h 18m,Martin Scorsese,257,4
Harry Potter and the Chamber of Secrets,7.4,677000,63,PG,2002,2h 41m,Chris Columbus,258,36
Troy,7.3,561000,56,R,2004,2h 43m,Wolfgang Petersen,259,222
Spider-Man: Into the Spider-Verse,8.4,2270000,87,PG,2018,1h 57m,Peter Ramsey,260,224
The Dark Knight Rises,8.4,1800000,78,PG-13,2012,2h 44m,Christopher Nolan,261,8
Hypnotic,5.5,27000,53,R,2023,1h 33m,Robert Rodriguez,262,226
Call Me by Your Name,7.8,303000,94,R,2017,2h 12m,Luca Guadagnino,263,227
Get Out,7.8,674000,85,R,2017,1h 44m,Jordan Peele,264,228
Some Like It Hot,8.2,279000,98,Passed,1959,2h 1m,Billy Wilder,265,229
Meg 2: The Trench,5,67000,40,PG-13,2023,1h 56m,Ben Wheatley,266,230
Love Hard,6.3,60000,42,TV-MA,2021,1h 44m,HernÃ¡n JimÃ©nez,267,231
Eternal Sunshine of the Spotless Mind,8.3,1100000,89,R,2004,1h 48m,Michel Gondry,268,232
300,7.6,853000,52,R,2006,1h 57m,Zack Snyder,269,14
We're the Millers,7,478000,44,R,2013,1h 50m,Rawson Marshall Thurber,270,233
Green Book,8.2,546000,69,PG-13,2018,2h 10m,Peter Farrelly,272,236
Top Gun,6.9,490000,50,PG,1986,1h 49m,Tony Scott,274,239
Tenet,7.3,572000,69,PG-13,2020,2h 30m,Christopher Nolan,275,8
12 Angry Men,9,845000,97,Approved,1957,1h 36m,Sidney Lumet,276,240
Burlesque,6.4,92000,47,PG-13,2010,1h 59m,Steve Antin,277,241
BlackBerry,7.4,30000,78,R,2023,2h,Matt Johnson,278,242
Casino Royale,8,685000,80,PG-13,2006,2h 24m,Martin Campbell,279,243
Star Wars: Episode IV - A New Hope,8.6,1400000,90,PG,1977,2h 1m,George Lucas,280,244
The Lobster,7.1,281000,82,R,2015,1h 59m,Yorgos Lanthimos,281,3
Silent Hill,6.5,241000,31,R,2006,2h 5m,Christophe Gans,282,245
Jack Reacher,7,359000,50,PG-13,2012,2h 10m,Christopher McQuarrie,283,58
Fiddler on the Roof,8,47000,67,G,1971,3h 1m,Norman Jewison,284,246
Glass Onion,7.1,420000,81,PG-13,2022,2h 19m,Rian Johnson,285,247
Memory,7.1,438,72,R,2023,1h 40m,Michel Franco,286,248
The Many Saints of Newark,6.3,61000,60,R,2021,2h,Alan Taylor,287,249
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1200000,63,PG-13,2003,2h 23m,Gore Verbinski,288,250
The Longest Ride,7,88000,33,PG-13,2015,2h 3m,George Tillman Jr.,289,251
A Man Called Otto,7.5,144000,51,PG-13,2022,2h 6m,Marc Forster,290,252
Aliens,8.4,751000,84,R,1986,2h 17m,James Cameron,291,128
No One Will Save You,6.3,56000,60,PG-13,2023,1h 33m,Brian Duffield,292,253
The Deer Hunter,8.1,356000,86,R,1978,3h 3m,Michael Cimino,294,256
"Are You There God? It's Me, Margaret.",7.3,20000,84,PG-13,2023,1h 46m,Kelly Fremon Craig,295,257
The Help,8.1,484000,62,PG-13,2011,2h 26m,Tate Taylor,296,258
Terminator 2: Judgment Day,8.6,1200000,75,R,1991,2h 17m,James Cameron,297,128
La La Land,8,645000,94,PG-13,2016,2h 8m,Damien Chazelle,298,132
The Truman Show,8.2,1200000,90,PG,1998,1h 43m,Peter Weir,299,259
The Sound of Music,8.1,253000,63,G,1965,2h 52m,Robert Wise,300,260
The Outsiders,7,95000,45,PG,1983,1h 31m,Francis Ford Coppola,301,85
Taxi Driver,8.2,899000,94,R,1976,1h 54m,Martin Scorsese,302,4
Fast Times at Ridgemont High,7.1,114000,61,R,1982,1h 30m,Amy Heckerling,303,261
Evil Dead Rise,6.5,127000,69,R,2023,1h 36m,Lee Cronin,304,262
Hereditary,7.3,364000,87,R,2018,2h 7m,Ari Aster,305,147
Her,8,656000,91,R,2013,2h 6m,Spike Jonze,306,263
The Irishman,7.8,421000,94,R,2019,3h 29m,Martin Scorsese,307,4
Catch Me If You Can,8.1,1100000,75,PG-13,2002,2h 21m,Steven Spielberg,308,135
The Shining,8.4,1100000,66,R,1980,2h 26m,Stanley Kubrick,309,174
Knives Out,7.9,751000,82,PG-13,2019,2h 10m,Rian Johnson,310,247
Next Goal Wins,6.5,3300,44,PG-13,2023,1h 44m,Taika Waititi,311,264
The Last Voyage of the Demeter,6.1,39000,52,R,2023,1h 58m,AndrÃ© Ãvredal,312,265
Air,7.4,153000,73,R,2023,1h 51m,Ben Affleck,313,266
She's the Man,6.4,172000,45,PG-13,2006,1h 45m,Andy Fickman,314,267
Better Watch Out,6.5,44000,67,R,2016,1h 29m,Chris Peckover,315,268
The Fast and the Furious,6.8,412000,58,PG-13,2001,1h 46m,Rob Cohen,316,269
Tropic Thunder,7.1,441000,71,R,2008,1h 47m,Ben Stiller,317,270
Nobody,7.4,312000,64,R,2021,1h 32m,Ilya Naishuller,318,271
Murder on the Orient Express,6.5,285000,52,PG-13,2017,1h 54m,Kenneth Branagh,319,37
The Secret Life of Walter Mitty,7.3,334000,54,PG,2013,1h 54m,Ben Stiller,320,270
Christmas in Connecticut,7.3,11000,64,Approved,1945,1h 41m,Peter Godfrey,321,272
Love & Other Drugs,6.7,219000,55,R,2010,1h 52m,Edward Zwick,322,98
The Equalizer,7.2,408000,57,R,2014,2h 12m,Antoine Fuqua,323,86
Ford v Ferrari,8.1,448000,81,PG-13,2019,2h 32m,James Mangold,324,18
Aftersun,7.7,81000,95,R,2022,1h 42m,Charlotte Wells,325,273
Mob Land,5.2,1900,47,R,2023,1h 51m,Nicholas Maggio,326,274
