,Movie_Name,Movie_ID,Genre,Genre_ID
1005,Sleeping Beauty,799,Romance,7
1006,Remember the Titans,800,Drama,1
1007,Remember the Titans,800,Biography,11
1008,Remember the Titans,800,Sport,19
1009,The Impossible,804,Drama,1
1010,The Impossible,804,Thriller,3
1011,The Impossible,804,History,9
1012,Room,805,Drama,1
1013,Room,805,Thriller,3
1014,The Invisible Man,806,Drama,1
1015,The Invisible Man,806,Mystery,2
1016,The Invisible Man,806,Horror,16
1017,Dawn of the Planet of the Apes,807,Drama,1
1018,Dawn of the Planet of the Apes,807,Adventure,4
1019,Dawn of the Planet of the Apes,807,Action,10
1020,Wild Things,808,Drama,1
1021,Wild Things,808,Mystery,2
1022,Wild Things,808,Crime,8
1023,Passages,809,Drama,1
1024,Passages,809,Romance,7
1025,500 Days of Summer,810,Drama,1
1026,500 Days of Summer,810,Comedy,5
1027,500 Days of Summer,810,Romance,7
1028,The Devil's Advocate,811,Drama,1
1029,The Devil's Advocate,811,Mystery,2
1030,The Devil's Advocate,811,Fantasy,12
1031,Nightmare Alley,815,Drama,1
1032,Nightmare Alley,815,Thriller,3
1033,Nightmare Alley,815,Crime,8
1034,Cinderella,816,Drama,1
1035,Cinderella,816,Adventure,4
1036,Cinderella,816,Comedy,5
1037,Cinderella,816,Family,6
1038,Cinderella,816,Family,6
1039,Cinderella,816,Fantasy,12
1040,The Shape of Water,820,Drama,1
1041,The Shape of Water,820,Romance,7
1042,The Shape of Water,820,Fantasy,12
1043,The Hobbit: The Desolation of Smaug,822,Drama,1
1044,The Hobbit: The Desolation of Smaug,822,Adventure,4
1045,The Hobbit: The Desolation of Smaug,822,Fantasy,12
1046,Children of Men,824,Drama,1
1047,Children of Men,824,Action,10
1048,Children of Men,824,Sci-Fi,13
1049,In Bruges,825,Drama,1
1050,In Bruges,825,Comedy,5
1051,In Bruges,825,Crime,8
1052,A Castle for Christmas,829,Drama,1
1053,A Castle for Christmas,829,Adventure,4
1054,A Castle for Christmas,829,Comedy,5
1055,Spotlight,834,Drama,1
1056,Spotlight,834,Crime,8
1057,Spotlight,834,Biography,11
1058,Click,838,Drama,1
1059,Click,838,Comedy,5
1060,Click,838,Fantasy,12
1061,Red Sparrow,840,Drama,1
1062,Red Sparrow,840,Thriller,3
1063,Red Sparrow,840,Action,10
1064,The Miracle Club,841,Drama,1
1065,The Miracle Club,841,Comedy,5
1066,12 Years a Slave,842,Drama,1
1067,12 Years a Slave,842,History,9
1068,12 Years a Slave,842,Biography,11
1069,The Devil All the Time,844,Drama,1
1070,The Devil All the Time,844,Thriller,3
1071,The Devil All the Time,844,Crime,8
1072,The Patriot,845,Drama,1
1073,The Patriot,845,History,9
1074,The Patriot,845,Action,10
1075,Red Dawn,846,Drama,1
1076,Red Dawn,846,Thriller,3
1077,Red Dawn,846,Action,10
1078,She Came to Me,848,Drama,1
1079,She Came to Me,848,Comedy,5
1080,She Came to Me,848,Romance,7
1081,The Last of the Mohicans,849,Drama,1
1082,The Last of the Mohicans,849,Adventure,4
1083,The Last of the Mohicans,849,Action,10
1084,Interview with the Vampire: The Vampire Chronicles,853,Drama,1
1085,Interview with the Vampire: The Vampire Chronicles,853,Fantasy,12
1086,Interview with the Vampire: The Vampire Chronicles,853,Horror,16
1087,Gran Torino,855,Drama,1
1088,Creed III,858,Drama,1
1089,Creed III,858,Sport,19
1090,Foe,863,Drama,1
1091,Foe,863,Thriller,3
1092,Foe,863,Sci-Fi,13
1093,Erin Brockovich,865,Drama,1
1094,Erin Brockovich,865,Biography,11
1095,Dark Waters,873,Drama,1
1096,Dark Waters,873,History,9
1097,Dark Waters,873,Biography,11
1098,Freud's Last Session,874,Drama,1
1099,Good Time,877,Drama,1
1100,Good Time,877,Thriller,3
1101,Good Time,877,Crime,8
1102,Easy A,878,Drama,1
1103,Easy A,878,Comedy,5
1104,Easy A,878,Romance,7
1105,Brokeback Mountain,879,Drama,1
1106,Brokeback Mountain,879,Romance,7
1107,Warrior,881,Drama,1
1108,Warrior,881,Action,10
1109,Warrior,881,Sport,19
1110,My Girl,883,Drama,1
1111,My Girl,883,Comedy,5
1112,My Girl,883,Family,6
1113,Dirty Dancing,884,Drama,1
1114,Dirty Dancing,884,Romance,7
1115,Dirty Dancing,884,Music,14
1116,Mixed Nuts,885,Drama,1
1117,Mixed Nuts,885,Comedy,5
1118,The Karate Kid,890,Drama,1
1119,The Karate Kid,890,Drama,1
1120,The Karate Kid,890,Family,6
1121,The Karate Kid,890,Family,6
1122,The Karate Kid,890,Action,10
1123,The Karate Kid,890,Action,10
1124,The French Dispatch,893,Drama,1
1125,The French Dispatch,893,Comedy,5
1126,The French Dispatch,893,Romance,7
1127,Showing Up,894,Drama,1
1128,Showing Up,894,Comedy,5
1129,Robin Hood,896,Drama,1
1130,Robin Hood,896,Adventure,4
1131,Robin Hood,896,Action,10
1132,Remember Me,897,Drama,1
1133,Remember Me,897,Romance,7
1134,Steel Magnolias,898,Drama,1
1135,Steel Magnolias,898,Comedy,5
1136,Steel Magnolias,898,Romance,7
1137,Midway,899,Drama,1
1138,Midway,899,History,9
1139,Midway,899,Action,10
1140,"Girl, Interrupted",900,Drama,1
1141,"Girl, Interrupted",900,Biography,11
1142,Lone Survivor,901,Drama,1
1143,Lone Survivor,901,Action,10
1144,Lone Survivor,901,Biography,11
1145,The Town,910,Drama,1
1146,The Town,910,Thriller,3
1147,The Town,910,Crime,8
1148,Thirteen,911,Drama,1
1149,Bridge to Terabithia,913,Drama,1
1150,Bridge to Terabithia,913,Family,6
1151,Bridge to Terabithia,913,Fantasy,12
1152,Monster,914,Drama,1
1153,Monster,914,Crime,8
1154,Monster,914,Biography,11
1155,Champions,916,Drama,1
1156,Champions,916,Comedy,5
1157,Champions,916,Sport,19
1158,Last Holiday,923,Drama,1
1159,Last Holiday,923,Comedy,5
1160,Last Holiday,923,Romance,7
1161,Birdman or (The Unexpected Virtue of Ignorance),925,Drama,1
1162,Birdman or (The Unexpected Virtue of Ignorance),925,Comedy,5
1163,Mask,926,Drama,1
1164,Mask,926,Biography,11
1165,The Game,927,Drama,1
1166,The Game,927,Mystery,2
1167,The Game,927,Thriller,3
1168,Knights of the Zodiac,928,Drama,1
1169,Knights of the Zodiac,928,Adventure,4
1170,Knights of the Zodiac,928,Action,10
1171,Alfie,929,Drama,1
1172,Alfie,929,Comedy,5
1173,Tetris,933,Drama,1
1174,Tetris,933,History,9
1175,Tetris,933,Biography,11
1176,Licorice Pizza,934,Drama,1
1177,Licorice Pizza,934,Comedy,5
1178,Licorice Pizza,934,Romance,7
1179,"The Cook, the Thief, His Wife & Her Lover",935,Drama,1
1180,"The Cook, the Thief, His Wife & Her Lover",935,Crime,8
1181,Anastasia,936,Drama,1
1182,Anastasia,936,Adventure,4
1183,Anastasia,936,Animation,15
1184,Misery,937,Drama,1
1185,Misery,937,Thriller,3
1186,Lakeview Terrace,938,Drama,1
1187,Lakeview Terrace,938,Thriller,3
1188,Lakeview Terrace,938,Crime,8
1189,Chinatown,941,Drama,1
1190,Chinatown,941,Mystery,2
1191,Chinatown,941,Thriller,3
1192,Mrs. Doubtfire,945,Drama,1
1193,Mrs. Doubtfire,945,Comedy,5
1194,When Harry Met Sally...,946,Drama,1
1195,When Harry Met Sally...,946,Comedy,5
1196,When Harry Met Sally...,946,Romance,7
1197,Cruel Intentions,948,Drama,1
1198,Cruel Intentions,948,Romance,7
1199,Traffic,951,Drama,1
1200,Traffic,951,Thriller,3
1201,Traffic,951,Crime,8
1202,A Christmas Carol,71,Drama,1
1203,A Christmas Carol,71,Adventure,4
1204,A Christmas Carol,71,Comedy,5
1205,A Christmas Carol,71,Family,6
1206,A Christmas Carol,71,Fantasy,12
1207,A Christmas Carol,71,Animation,15
1208,Suspiria,954,Drama,1
1209,Suspiria,954,Fantasy,12
